author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
CENTURY 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/310431008/,Москва,sale,flat,9,12,3,106.6,-1,0,74500000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/316209994/,Москва,sale,flat,2,14,2,46.1,-1,0,16600000.0,Солнцево,Боровское шоссе,2к7,Говорово,Мещерский лес
Sminex,developer,https://www.cian.ru/sale/flat/313246214/,Москва,sale,flat,3,6,2,120.3,-1,0,277210000.0,Басманный,Потаповский переулок,5С4,Чистые пруды,Исторический дом 
Eightmix Property,real_estate_agent,https://www.cian.ru/sale/flat/315755585/,Москва,sale,flat,6,17,3,110.0,-1,0,79900000.0,Раменки,Ломоносовский проспект,29к3,Ломоносовский проспект,Квартал Шуваловский
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/317647402/,Москва,sale,flat,4,5,3,81.6,-1,0,46950000.0,Хамовники,переулок Серпов,3-5,Киевская,
Sminex,developer,https://www.cian.ru/sale/flat/316419323/,Москва,sale,flat,2,12,1,66.6,-1,0,151890000.0,Хамовники,Фрунзенская набережная,30,Фрунзенская,Клубный квартал 
Антон Белов,realtor,https://www.cian.ru/sale/flat/316539388/,Москва,sale,flat,19,41,3,66.0,-1,0,52700000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Юникор Недвижимость Балашиха,real_estate_agent,https://www.cian.ru/sale/flat/317218474/,Москва,sale,flat,1,5,2,56.7,-1,0,18000000.0,Войковский,Ленинградское шоссе,36К2,Балтийская,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/312139831/,Москва,sale,flat,6,23,2,60.0,-1,0,,Печатники,Шоссейная ,4Д,Печатники,Адмирал
ID 69317500,homeowner,https://www.cian.ru/sale/flat/317766834/,Москва,sale,flat,13,20,3,71.5,-1,0,16850000.0,,бульвар Скандинавский,1к2,Потапово,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295915768/,Москва,sale,flat,8,13,3,92.1,-1,0,96705000.0,Раменки,проспект Генерала Дорохова,39к1,Поклонная,Собрание клубных домов West Garden
MR Group,developer,https://www.cian.ru/sale/flat/317210686/,Москва,sale,flat,2,5,1,31.1,-1,0,,Можайский,,,Давыдково,Веер ЖК
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/314716710/,Москва,sale,flat,4,15,2,59.7,-1,0,12500000.0,, Гренадерская,9к3,Ольховая,"Новые Ватутинки, мкр. Десна"
Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/314672030/,Москва,sale,flat,14,16,1,40.0,-1,0,12700000.0,Марьино,Новомарьинская ,16К1,Братиславская,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/314440071/,Москва,sale,flat,4,8,1,48.3,-1,0,46854400.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
ID 85604823,unknown,https://www.cian.ru/sale/flat/311061249/,Москва,sale,flat,40,41,3,66.0,-1,0,46000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/316217397/,Москва,sale,flat,4,5,2,60.0,-1,0,45000000.0,Тверской,3-я Тверская-Ямская ,42/8,Маяковская,
Третий Рим,developer,https://www.cian.ru/sale/flat/310065847/,Москва,sale,flat,3,8,2,97.7,-1,0,268675000.0,Арбат,Никитский бульвар,6/20,Арбатская,Никитский-6
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/316684654/,Москва,sale,flat,17,17,3,78.0,-1,0,34700000.0,Хорошевский, Полины Осипенко,22К3,Полежаевская,
Новые Ватутинки,real_estate_agent,https://www.cian.ru/sale/flat/312758513/,Москва,sale,flat,14,14,3,84.5,-1,0,16500000.0,, 3-я Нововатутинская,2,Ольховая,"Новые Ватутинки, мкр. Центральный"
Донстрой,developer,https://www.cian.ru/sale/flat/315734688/,Москва,sale,flat,2,9,2,87.9,-1,0,154088700.0,Хамовники,Новодевичий проезд,6С2,Спортивная,ДОМ XXII
CENTURY 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/316826848/,Москва,sale,flat,17,17,3,78.3,-1,0,34700000.0,Хорошевский, Полины Осипенко,22К3,Полежаевская,
Houzz Realty,real_estate_agent,https://www.cian.ru/sale/flat/314150457/,Москва,sale,flat,10,41,2,51.0,-1,0,30000000.0,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
INGRAD,developer,https://www.cian.ru/sale/flat/316194051/,Москва,sale,flat,24,27,2,53.7,-1,0,27500000.0,Нагорный,Электролитный проезд,7,Нагорная,TopHills
Time Property,real_estate_agent,https://www.cian.ru/sale/flat/310512370/,Москва,sale,flat,9,16,3,106.6,-1,0,76000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/317559783/,Москва,sale,flat,3,7,3,138.0,-1,0,95000000.0,Тверской,Новослободская ,11,Новослободская,
ID 129552088,developer,https://www.cian.ru/sale/flat/315769816/,Москва,sale,flat,5,56,2,60.7,-1,0,40913318.0,Проспект Вернадского,,,Юго-Западная,ICE TOWERS
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/317410363/,Москва,sale,flat,2,6,3,121.9,-1,0,130000000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
